CMDLINE autosubmit -lc DEBUG run a00r
MEM 133.253906 1789046188.1774
MEM 133.253906 1789046188.2823
MEM 133.253906 1789046188.3832
MEM 133.253906 1789046188.4859
MEM 133.253906 1789046188.5969
MEM 133.253906 1789046188.6978
MEM 133.253906 1789046188.7991
MEM 133.253906 1789046188.9035
MEM 133.253906 1789046189.0059
MEM 133.253906 1789046189.1135
MEM 133.253906 1789046189.2139
MEM 133.253906 1789046189.3144
MEM 133.375000 1789046189.4149
MEM 133.375000 1789046189.5152
MEM 133.386719 1789046189.6155
MEM 133.386719 1789046189.7178
MEM 133.386719 1789046189.8192
MEM 133.386719 1789046189.9200
MEM 133.386719 1789046190.0203
MEM 133.386719 1789046190.1205
MEM 133.386719 1789046190.2230
MEM 133.386719 1789046190.3240
MEM 133.386719 1789046190.4255
MEM 133.386719 1789046190.5258
MEM 133.386719 1789046190.6261
MEM 133.386719 1789046190.7282
MEM 133.386719 1789046190.8287
MEM 133.386719 1789046190.9300
MEM 133.386719 1789046191.0303
MEM 133.386719 1789046191.1305
MEM 133.386719 1789046191.2308
MEM 133.386719 1789046191.3311
MEM 133.386719 1789046191.4324
MEM 133.386719 1789046191.5331
MEM 133.386719 1789046191.6335
MEM 133.386719 1789046191.7344
MEM 133.386719 1789046191.8348
MEM 133.386719 1789046191.9374
MEM 133.386719 1789046192.0378
MEM 133.386719 1789046192.1392
MEM 133.386719 1789046192.2397
MEM 133.386719 1789046192.3406
MEM 133.386719 1789046192.4413
MEM 133.386719 1789046192.5424
MEM 133.386719 1789046192.6434
MEM 133.386719 1789046192.7441
MEM 133.386719 1789046192.8445
MEM 133.386719 1789046192.9454
MEM 133.386719 1789046193.0459
MEM 133.386719 1789046193.1480
MEM 133.386719 1789046193.2502
MEM 133.386719 1789046193.3511
MEM 133.386719 1789046193.4518
MEM 133.386719 1789046193.5524
MEM 133.386719 1789046193.6534
MEM 133.386719 1789046193.7544
MEM 133.386719 1789046193.8556
MEM 133.386719 1789046193.9599
MEM 133.386719 1789046194.0627
MEM 133.386719 1789046194.1643
MEM 133.386719 1789046194.2652
MEM 133.386719 1789046194.3655
MEM 133.386719 1789046194.4668
MEM 133.386719 1789046194.5678
MEM 133.386719 1789046194.6690
MEM 133.386719 1789046194.7695
MEM 133.386719 1789046194.8721
MEM 133.386719 1789046194.9758
MEM 133.386719 1789046195.0795
MEM 133.386719 1789046195.1812
MEM 133.386719 1789046195.2823
MEM 133.386719 1789046195.3828
MEM 133.386719 1789046195.4838
MEM 133.386719 1789046195.5844
MEM 133.386719 1789046195.6860
MEM 133.386719 1789046195.7924
MEM 133.386719 1789046195.8934
MEM 133.386719 1789046195.9941
MEM 133.386719 1789046196.0952
MEM 133.386719 1789046196.1965
MEM 133.386719 1789046196.2981
MEM 133.386719 1789046196.3995
MEM 133.386719 1789046196.5046
MEM 133.386719 1789046196.6140
MEM 133.386719 1789046196.7145
MEM 133.386719 1789046196.8150
MEM 133.386719 1789046196.9154
MEM 133.386719 1789046197.0158
MEM 133.386719 1789046197.1174
MEM 133.433594 1789046197.2182
MEM 133.433594 1789046197.3188
MEM 133.433594 1789046197.4193
MEM 133.433594 1789046197.5205
MEM 133.433594 1789046197.6208
MEM 133.433594 1789046197.7218
MEM 133.433594 1789046197.8228
MEM 133.433594 1789046197.9238
MEM 133.433594 1789046198.0251
MEM 133.433594 1789046198.1254
MEM 133.433594 1789046198.2271
MEM 133.433594 1789046198.3277
MEM 133.433594 1789046198.4289
MEM 133.433594 1789046198.5299
MEM 133.433594 1789046198.6304
MEM 133.433594 1789046198.7328
MEM 133.433594 1789046198.8335
MEM 133.433594 1789046198.9345
MEM 133.433594 1789046199.0351
MEM 133.433594 1789046199.1361
MEM 133.433594 1789046199.2378
MEM 133.433594 1789046199.3383
MEM 133.433594 1789046199.4387
MEM 133.433594 1789046199.5391
MEM 133.433594 1789046199.6395
MEM 133.433594 1789046199.7400
MEM 133.433594 1789046199.8411
MEM 133.433594 1789046199.9435
MEM 133.433594 1789046200.0446
MEM 133.433594 1789046200.1475
MEM 133.433594 1789046200.2505
MEM 133.437500 1789046200.3514
MEM 133.437500 1789046200.4517
MEM 133.441406 1789046200.5522
MEM 133.441406 1789046200.6525
MEM 133.441406 1789046200.7528
MEM 133.441406 1789046200.8535
MEM 133.441406 1789046200.9554
MEM 133.441406 1789046201.0558
MEM 133.441406 1789046201.1595
MEM 133.441406 1789046201.2597
MEM 133.441406 1789046201.3615
MEM 133.441406 1789046201.4629
MEM 133.441406 1789046201.5655
MEM 133.441406 1789046201.6661
MEM 133.441406 1789046201.7671
MEM 133.441406 1789046201.8681
MEM 133.441406 1789046201.9686
MEM 133.441406 1789046202.0692
MEM 133.441406 1789046202.1763
MEM 133.441406 1789046202.2770
MEM 133.441406 1789046202.3779
MEM 133.441406 1789046202.4786
